357	52	314	2456	1804	331
{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{9: 'Star Wars: Episode VI - Return of the Jedi (1983)'}	{13: 'Shawshank Redemption, The (1994)'}
{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{57: 'Amadeus (1984)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{6: 'Silence of the Lambs, The (1991)'}	{1: 'American Beauty (1999)'}
{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{1: 'American Beauty (1999)'}	{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{13: 'Shawshank Redemption, The (1994)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{3: 'Star Wars: Episode V - The Empire Strikes Back (1980)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	"{33: ""One Flew Over the Cuckoo's Nest (1975)""}"	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{6: 'Silence of the Lambs, The (1991)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	"{10: ""Schindler's List (1993)""}"	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{6: 'Silence of the Lambs, The (1991)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{17: 'L.A. Confidential (1997)'}	"{10: ""Schindler's List (1993)""}"
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{6: 'Silence of the Lambs, The (1991)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{15: 'Braveheart (1995)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{6: 'Silence of the Lambs, The (1991)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{2: 'Star Wars: Episode IV - A New Hope (1977)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{5: 'Saving Private Ryan (1998)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{4: 'Raiders of the Lost Ark (1981)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}	{1: 'American Beauty (1999)'}
